Latitude (decimal degrees):	25.033
Longitude (decimal degrees):	121.565
Elevation (m):	15
Radiation database:	PVGIS-ERA5


Slope: 30 deg. 
Azimuth: -179 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200102:2030,0.0,0.0,0.0,14.52,2.48,0.0
20200102:2130,0.0,0.0,0.0,14.48,2.48,0.0
20200102:2230,0.0,0.0,-2.71,14.36,2.48,0.0
20200102:2330,20.2,38.01,9.36,14.32,2.34,0.0
20200103:0030,43.57,73.67,20.48,15.73,2.21,0.0
20200103:0130,78.9,148.47,30.18,18.18,2.48,0.0
20200103:0230,145.21,226.11,37.59,19.42,3.03,0.0
20200103:0330,169.49,239.36,41.66,20.19,3.24,0.0
20200103:0430,215.83,297.82,41.51,20.35,3.17,0.0
20200103:0530,152.55,231.26,37.2,20.79,3.1,0.0
20200103:0630,67.86,135.23,29.6,20.83,3.31,0.0
20200103:0730,47.46,74.58,19.79,20.83,3.24,0.0
20200103:0830,19.85,38.37,8.56,20.14,2.76,0.0
20200103:0930,0.0,0.0,-3.57,19.04,2.34,0.0
20200103:1030,0.0,0.0,0.0,17.87,2.14,0.0
20200103:1130,0.0,0.0,0.0,16.91,2.0,0.0
20200103:1230,0.0,0.0,0.0,16.07,2.0,0.0
20200103:1330,0.0,0.0,0.0,15.39,2.0,0.0
20200103:1430,0.0,0.0,0.0,14.87,2.07,0.0
20200103:1530,0.0,0.0,0.0,14.65,2.07,0.0
20200103:1630,0.0,0.0,0.0,14.34,2.0,0.0
20200103:1730,0.0,0.0,0.0,14.18,2.0,0.0
20200103:1830,0.0,0.0,0.0,14.17,1.86,0.0
20200103:1930,0.0,0.0,0.0,14.62,1.86,0.0
20200103:2030,0.0,0.0,0.0,14.4,1.79,0.0
20200103:2130,0.0,0.0,0.0,14.29,1.72,0.0
20200103:2230,0.0,0.0,-2.76,14.13,1.79,0.0
20200103:2330,23.6,42.54,9.32,14.2,1.86,0.0
20200104:0030,36.88,67.64,20.47,15.97,1.79,0.0
20200104:0130,83.2,153.34,30.19,19.17,2.14,0.0
20200104:0230,135.88,220.83,37.64,20.31,2.55,0.0
20200104:0330,158.72,247.72,41.74,21.13,2.83,0.0
20200104:0430,161.05,251.29,41.63,21.59,3.03,0.0
20200104:0530,124.15,209.2,37.33,21.82,3.31,0.0
20200104:0630,70.57,138.7,29.74,21.73,3.45,0.0
20200104:0730,51.54,79.83,19.93,21.25,3.52,0.0
20200104:0830,21.36,40.5,8.7,20.51,3.03,0.0
20200104:0930,0.0,0.0,-3.44,19.49,3.03,0.0
20200104:1030,0.0,0.0,0.0,18.6,3.03,0.0
20200104:1130,0.0,0.0,0.0,18.04,3.1,0.0
20200104:1230,0.0,0.0,0.0,17.59,3.1,0.0
20200104:1330,0.0,0.0,0.0,17.46,3.24,0.0
20200104:1430,0.0,0.0,0.0,17.3,3.24,0.0
20200104:1530,0.0,0.0,0.0,17.07,3.24,0.0
20200104:1630,0.0,0.0,0.0,17.03,3.24,0.0
20200104:1730,0.0,0.0,0.0,16.89,3.24,0.0
20200104:1830,0.0,0.0,0.0,16.7,3.1,0.0
20200104:1930,0.0,0.0,0.0,16.71,3.03,0.0
20200104:2030,0.0,0.0,0.0,16.46,2.97,0.0
20200104:2130,0.0,0.0,0.0,16.47,2.97,0.0
20200104:2230,0.0,0.0,-2.8,16.36,3.03,0.0
20200104:2330,23.89,43.22,9.29,16.2,2.97,0.0
20200105:0030,51.86,85.35,20.46,17.62,3.1,0.0
20200105:0130,84.91,153.87,30.21,19.35,3.59,0.0
20200105:0230,136.23,218.7,37.7,20.5,4.14,0.0
20200105:0330,166.32,253.74,41.83,21.26,4.69,0.0
20200105:0430,169.67,255.92,41.75,21.94,4.62,0.0
20200105:0530,149.61,210.8,37.48,22.48,4.28,0.0
20200105:0630,112.01,176.89,29.89,21.96,3.52,0.0
20200105:0730,72.74,106.25,20.07,21.72,3.59,0.0
20200105:0830,19.23,37.65,8.84,21.11,2.83,0.0
20200105:0930,0.0,0.0,-3.3,20.11,2.62,0.0
20200105:1030,0.0,0.0,0.0,19.16,2.48,0.0
20200105:1130,0.0,0.0,0.0,18.61,2.41,0.0
20200105:1230,0.0,0.0,0.0,18.07,2.48,0.0
20200105:1330,0.0,0.0,0.0,17.71,2.55,0.0
20200105:1430,0.0,0.0,0.0,17.27,2.55,0.0
20200105:1530,0.0,0.0,0.0,16.96,2.55,0.0
20200105:1630,0.0,0.0,0.0,16.58,2.48,0.0
20200105:1730,0.0,0.0,0.0,16.21,2.41,0.0
20200105:1830,0.0,0.0,0.0,16.05,2.28,0.0
20200105:1930,0.0,0.0,0.0,16.07,2.21,0.0
20200105:2030,0.0,0.0,0.0,15.73,2.07,0.0
20200105:2130,0.0,0.0,0.0,15.48,2.0,0.0
20200105:2230,0.0,0.0,-2.84,15.32,1.93,0.0
20200105:2330,21.06,39.33,9.26,15.34,1.79,0.0
20200106:0030,43.02,74.25,20.46,16.71,1.45,0.0
20200106:0130,83.78,154.13,30.24,19.51,1.31,0.0
20200106:0230,134.51,220.78,37.76,20.84,1.17,0.0
20200106:0330,177.78,266.16,41.93,21.82,1.24,0.0
20200106:0430,161.07,237.55,41.88,22.7,1.38,0.0
20200106:0530,162.31,228.17,37.62,22.88,1.1,0.0
20200106:0630,123.16,179.75,30.04,22.36,1.03,0.0
20200106:0730,51.08,79.92,20.22,22.13,1.1,0.0
20200106:0830,17.46,35.25,8.98,21.47,1.1,0.0
20200106:0930,0.0,0.0,-3.16,20.68,1.1,0.0
20200106:1030,0.0,0.0,0.0,19.96,1.45,0.0
20200106:1130,0.0,0.0,0.0,19.15,1.86,0.0
20200106:1230,0.0,0.0,0.0,18.7,1.93,0.0
20200106:1330,0.0,0.0,0.0,18.3,2.0,0.0
20200106:1430,0.0,0.0,0.0,17.78,2.0,0.0
20200106:1530,0.0,0.0,0.0,17.39,1.93,0.0
20200106:1630,0.0,0.0,0.0,17.19,1.86,0.0
20200106:1730,0.0,0.0,0.0,16.86,1.79,0.0
20200106:1830,0.0,0.0,0.0,16.62,1.72,0.0
20200106:1930,0.0,0.0,0.0,16.58,1.86,0.0
20200106:2030,0.0,0.0,0.0,16.38,1.66,0.0
20200106:2130,0.0,0.0,0.0,16.32,1.52,0.0
20200106:2230,0.0,0.0,-2.88,16.32,1.45,0.0
20200106:2330,31.91,53.72,9.24,16.16,1.45,0.0
20200107:0030,81.29,118.35,20.46,17.38,1.24,0.0
20200107:0130,115.97,181.58,30.27,19.25,1.03,0.0
20200107:0230,171.09,253.25,37.83,20.5,0.83,0.0
20200107:0330,171.8,247.79,42.04,21.19,1.72,0.0
20200107:0430,170.29,254.5,42.02,21.25,1.72,0.0
20200107:0530,161.46,240.53,37.78,21.58,1.52,0.0
20200107:0630,113.43,176.69,30.2,21.7,1.38,0.0
20200107:0730,63.17,96.6,20.38,22.44,0.28,0.0
20200107:0830,24.21,44.71,9.13,22.02,0.48,0.0
20200107:0930,0.0,0.0,-3.02,21.16,0.41,0.0
20200107:1030,0.0,0.0,0.0,20.09,0.34,0.0
20200107:1130,0.0,0.0,0.0,19.27,0.62,0.0
20200107:1230,0.0,0.0,0.0,17.85,1.1,0.0
20200107:1330,0.0,0.0,0.0,16.75,1.72,0.0
20200107:1430,0.0,0.0,0.0,16.21,1.86,0.0
20200107:1530,0.0,0.0,0.0,15.92,1.86,0.0
20200107:1630,0.0,0.0,0.0,15.94,1.52,0.0
20200107:1730,0.0,0.0,0.0,17.06,1.17,0.0
20200107:1830,0.0,0.0,0.0,16.94,1.38,0.0
20200107:1930,0.0,0.0,0.0,16.6,1.66,0.0
20200107:2030,0.0,0.0,0.0,16.03,1.93,0.0
20200107:2130,0.0,0.0,0.0,15.56,2.41,0.0
20200107:2230,0.0,0.0,-2.92,16.5,3.31,0.0
20200107:2330,4.56,15.11,9.23,16.31,3.72,0.0
20200108:0030,32.89,56.64,20.48,15.97,3.86,0.0
20200108:0130,78.05,113.57,30.31,15.23,4.0,0.0
20200108:0230,101.36,142.52,37.9,15.06,4.28,0.0
20200108:0330,149.0,196.46,42.15,14.93,4.41,0.0
20200108:0430,192.27,249.62,42.17,14.84,4.62,0.0
20200108:0530,133.59,181.04,37.94,14.79,4.69,0.0
20200108:0630,104.39,149.35,30.36,14.28,4.55,0.0
20200108:0730,71.04,102.02,20.53,14.59,4.48,0.0
20200108:0830,21.81,40.14,9.28,14.32,4.34,0.0
20200108:0930,0.0,0.0,-2.88,13.99,4.28,0.0
20200108:1030,0.0,0.0,0.0,13.78,4.28,0.0
20200108:1130,0.0,0.0,0.0,13.61,4.21,0.0
20200108:1230,0.0,0.0,0.0,13.63,4.55,0.0
20200108:1330,0.0,0.0,0.0,13.5,4.34,0.0
20200108:1430,0.0,0.0,0.0,13.65,4.69,0.0
20200108:1530,0.0,0.0,0.0,13.68,4.62,0.0
20200108:1630,0.0,0.0,0.0,13.55,4.14,0.0
20200108:1730,0.0,0.0,0.0,13.63,4.41,0.0
20200108:1830,0.0,0.0,0.0,13.64,4.28,0.0
20200108:1930,0.0,0.0,0.0,13.35,3.72,0.0
20200108:2030,0.0,0.0,0.0,13.28,3.52,0.0
20200108:2130,0.0,0.0,0.0,13.13,3.38,0.0
20200108:2230,0.0,0.0,-2.94,13.13,3.17,0.0
20200108:2330,26.87,46.61,9.22,13.31,3.38,0.0
20200109:0030,84.03,118.08,20.49,13.84,3.59,0.0
20200109:0130,135.86,186.5,30.36,15.01,4.07,0.0
20200109:0230,175.43,237.77,37.98,15.67,3.93,0.0
20200109:0330,222.44,286.31,42.28,16.28,3.93,0.0
20200109:0430,216.99,289.14,42.32,16.63,3.72,0.0
20200109:0530,199.93,265.73,38.1,17.27,3.52,0.0
20200109:0630,144.86,203.06,30.53,17.45,3.38,0.0
20200109:0730,59.66,92.56,20.69,17.72,3.03,0.0
20200109:0830,25.01,44.94,9.43,17.56,2.97,0.0
20200109:0930,0.0,0.0,-2.73,16.91,2.48,0.0
20200109:1030,0.0,0.0,0.0,16.13,2.14,0.0
20200109:1130,0.0,0.0,0.0,15.36,2.0,0.0
20200109:1230,0.0,0.0,0.0,14.59,1.93,0.0
20200109:1330,0.0,0.0,0.0,14.23,1.86,0.0
20200109:1430,0.0,0.0,0.0,14.0,1.93,0.0
20200109:1530,0.0,0.0,0.0,13.81,2.0,0.0
20200109:1630,0.0,0.0,0.0,13.65,2.21,0.0
20200109:1730,0.0,0.0,0.0,13.58,2.21,0.0
20200109:1830,0.0,0.0,0.0,13.51,2.34,0.0
20200109:1930,0.0,0.0,0.0,13.99,2.0,0.0
20200109:2030,0.0,0.0,0.0,14.09,1.86,0.0
20200109:2130,0.0,0.0,0.0,14.02,1.86,0.0
20200109:2230,0.0,0.0,-2.97,13.89,2.0,0.0
20200109:2330,23.9,42.85,9.21,13.76,2.07,0.0
20200110:0030,41.66,75.29,20.51,15.31,2.07,0.0
20200110:0130,106.74,170.54,30.41,17.92,3.17,0.0
20200110:0230,140.17,216.24,38.07,18.84,3.52,0.0
20200110:0330,176.24,262.12,42.4,19.74,3.72,0.0
20200110:0430,188.25,270.19,42.48,20.7,3.79,0.0
20200110:0530,146.32,227.24,38.27,21.02,3.45,0.0
20200110:0630,108.27,171.79,30.7,20.99,3.31,0.0
20200110:0730,48.71,80.71,20.86,20.75,2.69,0.0
20200110:0830,20.66,39.51,9.59,20.21,2.28,0.0
20200110:0930,0.0,0.0,-2.58,19.46,1.86,0.0
20200110:1030,0.0,0.0,0.0,18.58,1.52,0.0
20200110:1130,0.0,0.0,0.0,17.71,1.45,0.0
20200110:1230,0.0,0.0,0.0,17.02,1.45,0.0
20200110:1330,0.0,0.0,0.0,16.64,1.52,0.0
20200110:1430,0.0,0.0,0.0,16.26,1.52,0.0
20200110:1530,0.0,0.0,0.0,15.93,1.59,0.0
20200110:1630,0.0,0.0,0.0,15.72,1.72,0.0
20200110:1730,0.0,0.0,0.0,15.32,1.86,0.0
20200110:1830,0.0,0.0,0.0,15.0,1.93,0.0
20200110:1930,0.0,0.0,0.0,15.11,1.72,0.0
20200110:2030,0.0,0.0,0.0,14.85,1.66,0.0
20200110:2130,0.0,0.0,0.0,14.65,1.59,0.0
20200110:2230,0.0,0.0,-2.99,14.59,1.52,0.0
20200110:2330,23.49,42.45,9.21,14.54,1.45,0.0
20200111:0030,42.54,76.88,20.54,16.17,1.17,0.0
20200111:0130,101.26,167.75,30.47,18.26,1.24,0.0
20200111:0230,160.07,235.89,38.17,19.39,1.45,0.0
20200111:0330,205.9,276.52,42.54,20.03,2.07,0.0
20200111:0430,172.08,230.4,42.64,19.97,2.55,0.0
20200111:0530,164.2,223.42,38.45,19.14,3.17,0.0
20200111:0630,90.67,128.25,30.87,18.52,3.1,0.0
20200111:0730,46.31,72.77,21.03,17.54,2.69,0.0
20200111:0830,8.86,22.13,9.75,16.86,2.69,0.0
20200111:0930,0.0,0.0,-2.44,16.24,2.62,0.0
20200111:1030,0.0,0.0,0.0,15.8,2.62,0.0
20200111:1130,0.0,0.0,0.0,15.45,2.55,0.0
20200111:1230,0.0,0.0,0.0,15.15,2.41,0.0
20200111:1330,0.0,0.0,0.0,14.98,2.28,0.0
20200111:1430,0.0,0.0,0.0,14.87,2.34,0.0
20200111:1530,0.0,0.0,0.0,14.67,2.41,0.0
20200111:1630,0.0,0.0,0.0,14.66,2.55,0.0
20200111:1730,0.0,0.0,0.0,14.58,2.69,0.0
20200111:1830,0.0,0.0,0.0,14.32,2.76,0.0
20200111:1930,0.0,0.0,0.0,14.49,2.83,0.0
20200111:2030,0.0,0.0,0.0,14.27,3.17,0.0
20200111:2130,0.0,0.0,0.0,14.01,3.24,0.0
20200111:2230,0.0,0.0,-3.0,13.74,3.24,0.0
20200111:2330,2.72,11.68,9.21,13.52,3.31,0.0
20200112:0030,14.12,30.22,20.57,13.43,3.31,0.0
20200112:0130,49.9,77.87,30.53,13.66,3.66,0.0
20200112:0230,71.9,102.35,38.27,13.73,4.14,0.0
20200112:0330,84.37,117.5,42.68,13.57,4.07,0.0
20200112:0430,83.43,115.22,42.81,13.47,4.28,0.0
20200112:0530,83.88,116.12,38.63,13.22,4.21,0.0
20200112:0630,57.55,84.4,31.05,13.02,4.14,0.0
20200112:0730,28.28,48.38,21.2,12.94,3.93,0.0
20200112:0830,4.37,14.62,9.91,12.79,3.72,0.0
20200112:0930,0.0,0.0,-2.29,12.55,3.59,0.0
20200112:1030,0.0,0.0,0.0,12.73,3.38,0.0
20200112:1130,0.0,0.0,0.0,12.87,3.45,0.0
20200112:1230,0.0,0.0,0.0,12.94,3.45,0.0
20200112:1330,0.0,0.0,0.0,13.07,3.45,0.0
20200112:1430,0.0,0.0,0.0,13.15,3.66,0.0
20200112:1530,0.0,0.0,0.0,13.09,3.86,0.0
20200112:1630,0.0,0.0,0.0,13.14,3.66,0.0
20200112:1730,0.0,0.0,0.0,13.02,3.59,0.0
20200112:1830,0.0,0.0,0.0,12.93,3.52,0.0
20200112:1930,0.0,0.0,0.0,12.88,3.31,0.0
20200112:2030,0.0,0.0,0.0,12.98,3.52,0.0
20200112:2130,0.0,0.0,0.0,13.0,3.38,0.0
20200112:2230,0.0,0.0,-3.01,13.04,3.52,0.0
20200112:2330,10.56,24.39,9.22,13.26,3.31,0.0
20200113:0030,48.15,74.08,20.61,13.67,3.1,0.0
20200113:0130,100.49,138.76,30.6,14.45,3.45,0.0
20200113:0230,147.2,194.08,38.38,15.15,3.31,0.0
20200113:0330,128.54,170.28,42.83,15.57,3.38,0.0
20200113:0430,128.04,169.51,42.99,15.55,3.59,0.0
20200113:0530,128.78,173.4,38.82,15.68,3.59,0.0
20200113:0630,143.53,196.08,31.24,15.89,3.66,0.0
20200113:0730,76.36,110.39,21.37,17.09,3.45,0.0
20200113:0830,27.35,47.92,10.07,17.0,3.03,0.0
20200113:0930,0.0,0.0,-2.13,16.64,2.34,0.0
20200113:1030,0.0,0.0,0.0,15.86,1.86,0.0
20200113:1130,0.0,0.0,0.0,14.93,1.38,0.0
20200113:1230,0.0,0.0,0.0,14.35,1.52,0.0
20200113:1330,0.0,0.0,0.0,14.24,2.14,0.0
20200113:1430,0.0,0.0,0.0,14.23,2.34,0.0
20200113:1530,0.0,0.0,0.0,14.19,1.93,0.0
20200113:1630,0.0,0.0,0.0,14.32,1.72,0.0
20200113:1730,0.0,0.0,0.0,14.31,1.59,0.0
20200113:1830,0.0,0.0,0.0,15.04,1.24,0.0
20200113:1930,0.0,0.0,0.0,15.23,1.24,0.0
20200113:2030,0.0,0.0,0.0,15.19,1.24,0.0
20200113:2130,0.0,0.0,0.0,15.2,1.17,0.0
20200113:2230,0.0,0.0,-3.02,15.17,1.17,0.0
20200113:2330,4.59,15.11,9.23,15.1,1.17,0.0
20200114:0030,39.71,64.06,20.66,15.48,1.38,0.0
20200114:0130,104.99,161.23,30.68,16.25,1.93,0.0
20200114:0230,163.38,220.37,38.5,17.16,2.62,0.0
20200114:0330,182.32,246.75,42.99,16.9,3.03,0.0
20200114:0430,188.63,258.27,43.17,16.75,3.38,0.0
20200114:0530,147.43,214.19,39.01,16.51,3.66,0.0
20200114:0630,87.33,125.95,31.42,16.38,4.28,0.0
20200114:0730,36.24,60.9,21.55,16.34,4.55,0.0
20200114:0830,6.31,18.01,10.23,15.68,4.34,0.0
20200114:0930,0.0,0.0,-1.98,15.13,3.66,0.0
20200114:1030,0.0,0.0,0.0,14.76,4.21,0.0
20200114:1130,0.0,0.0,0.0,14.57,4.41,0.0
20200114:1230,0.0,0.0,0.0,14.32,4.41,0.0
20200114:1330,0.0,0.0,0.0,14.17,4.41,0.0
20200114:1430,0.0,0.0,0.0,14.13,4.14,0.0
20200114:1530,0.0,0.0,0.0,14.15,3.93,0.0
20200114:1630,0.0,0.0,0.0,14.23,3.59,0.0
20200114:1730,0.0,0.0,0.0,14.38,3.45,0.0
20200114:1830,0.0,0.0,0.0,14.45,3.59,0.0
20200114:1930,0.0,0.0,0.0,14.94,3.38,0.0
20200114:2030,0.0,0.0,0.0,14.94,3.79,0.0
20200114:2130,0.0,0.0,0.0,15.03,3.79,0.0
20200114:2230,0.0,0.0,-3.02,15.23,3.59,0.0
20200114:2330,12.94,28.06,9.25,15.41,3.45,0.0
20200115:0030,60.61,90.25,20.71,16.07,3.72,0.0
20200115:0130,103.28,150.97,30.76,16.59,3.72,0.0
20200115:0230,144.73,198.73,38.62,17.29,4.14,0.0
20200115:0330,165.81,218.36,43.15,17.96,4.21,0.0
20200115:0430,184.17,239.02,43.36,18.09,4.0,0.0
20200115:0530,185.08,244.32,39.21,18.36,3.52,0.0
20200115:0630,116.47,159.73,31.62,18.48,3.79,0.0
20200115:0730,78.37,113.22,21.73,17.83,3.86,0.0
20200115:0830,19.55,37.61,10.4,17.71,3.59,0.0
20200115:0930,0.0,0.0,-1.83,17.28,2.9,0.0
20200115:1030,0.0,0.0,0.0,16.92,2.28,0.0
20200115:1130,0.0,0.0,0.0,16.68,2.28,0.0
20200115:1230,0.0,0.0,0.0,16.4,2.21,0.0
20200115:1330,0.0,0.0,0.0,16.48,2.14,0.0
20200115:1430,0.0,0.0,0.0,16.4,1.66,0.0
20200115:1530,0.0,0.0,0.0,16.36,1.31,0.0
20200115:1630,0.0,0.0,0.0,16.23,0.76,0.0
20200115:1730,0.0,0.0,0.0,16.28,0.41,0.0
20200115:1830,0.0,0.0,0.0,15.93,0.62,0.0
20200115:1930,0.0,0.0,0.0,16.0,0.97,0.0
20200115:2030,0.0,0.0,0.0,15.86,1.17,0.0
20200115:2130,0.0,0.0,0.0,15.73,1.31,0.0
20200115:2230,0.0,0.0,-3.02,15.72,1.31,0.0
20200115:2330,11.78,26.43,9.27,15.79,1.31,0.0
20200116:0030,52.42,83.19,20.76,16.16,1.59,0.0
20200116:0130,115.22,164.18,30.85,16.6,1.79,0.0
20200116:0230,143.15,195.19,38.75,17.35,1.79,0.0
20200116:0330,148.95,205.33,43.32,18.0,1.79,0.0
20200116:0430,167.93,232.24,43.56,18.63,2.07,0.0
20200116:0530,154.46,217.8,39.41,18.94,2.48,0.0
20200116:0630,127.95,181.04,31.81,18.82,2.69,0.0
20200116:0730,65.16,106.2,21.91,18.71,2.34,0.0
20200116:0830,18.42,36.16,10.57,18.38,2.41,0.0
20200116:0930,0.0,0.0,-1.67,17.54,2.28,0.0
20200116:1030,0.0,0.0,0.0,16.48,2.07,0.0
20200116:1130,0.0,0.0,0.0,15.96,2.0,0.0
20200116:1230,0.0,0.0,0.0,15.77,2.07,0.0
20200116:1330,0.0,0.0,0.0,15.48,2.0,0.0
20200116:1430,0.0,0.0,0.0,15.28,2.07,0.0
20200116:1530,0.0,0.0,0.0,15.05,2.41,0.0
20200116:1630,0.0,0.0,0.0,14.86,2.62,0.0
20200116:1730,0.0,0.0,0.0,14.6,2.76,0.0
20200116:1830,0.0,0.0,0.0,14.3,2.76,0.0
20200116:1930,0.0,0.0,0.0,14.4,2.83,0.0
20200116:2030,0.0,0.0,0.0,14.32,2.76,0.0
20200116:2130,0.0,0.0,0.0,14.15,2.76,0.0
20200116:2230,0.0,0.0,-3.01,14.02,2.9,0.0
20200116:2330,5.44,16.47,9.3,13.81,3.24,0.0
20200117:0030,28.85,49.97,20.82,13.73,3.17,0.0
20200117:0130,32.55,55.24,30.95,13.96,3.24,0.0
20200117:0230,99.61,135.67,38.89,14.04,3.31,0.0
20200117:0330,128.34,169.01,43.5,14.11,3.86,0.0
20200117:0430,85.71,119.18,43.76,14.17,4.0,0.0
20200117:0530,98.45,134.03,39.62,14.07,3.79,0.0
20200117:0630,53.79,80.61,32.01,14.22,3.86,0.0
20200117:0730,19.91,37.69,22.09,14.12,3.59,0.0
20200117:0830,2.26,10.82,10.74,13.94,3.45,0.0
20200117:0930,0.0,0.0,-1.52,13.67,3.17,0.0
20200117:1030,0.0,0.0,0.0,13.47,3.03,0.0
20200117:1130,0.0,0.0,0.0,13.29,3.1,0.0
20200117:1230,0.0,0.0,0.0,13.12,3.17,0.0
20200117:1330,0.0,0.0,0.0,13.0,3.1,0.0
20200117:1430,0.0,0.0,0.0,12.86,3.03,0.0
20200117:1530,0.0,0.0,0.0,12.67,3.03,0.0
20200117:1630,0.0,0.0,0.0,12.5,2.97,0.0
20200117:1730,0.0,0.0,0.0,12.3,2.97,0.0
20200117:1830,0.0,0.0,0.0,12.14,2.83,0.0
20200117:1930,0.0,0.0,0.0,12.08,2.62,0.0
20200117:2030,0.0,0.0,0.0,11.99,2.55,0.0
20200117:2130,0.0,0.0,0.0,11.88,2.69,0.0
20200117:2230,0.0,0.0,-3.0,11.82,2.55,0.0
20200117:2330,8.64,21.4,9.34,11.84,2.62,0.0
20200118:0030,41.01,65.27,20.89,12.05,2.97,0.0
20200118:0130,59.11,90.18,31.05,12.19,3.1,0.0
20200118:0230,103.2,140.55,39.03,12.56,3.38,0.0
20200118:0330,100.77,137.18,43.68,12.75,3.66,0.0
20200118:0430,156.27,201.0,43.97,12.77,3.59,0.0
20200118:0530,101.47,140.33,39.84,12.96,3.45,0.0
20200118:0630,77.53,111.63,32.21,12.98,3.45,0.0
20200118:0730,52.69,79.93,22.28,13.46,3.72,0.0
20200118:0830,9.89,23.4,10.91,13.28,3.66,0.0
20200118:0930,0.0,0.0,-1.36,13.07,3.24,0.0
20200118:1030,0.0,0.0,0.0,12.97,3.1,0.0
20200118:1130,0.0,0.0,0.0,12.92,3.1,0.0
20200118:1230,0.0,0.0,0.0,12.84,2.97,0.0
20200118:1330,0.0,0.0,0.0,12.79,2.9,0.0
20200118:1430,0.0,0.0,0.0,12.78,2.83,0.0
20200118:1530,0.0,0.0,0.0,12.78,2.62,0.0
20200118:1630,0.0,0.0,0.0,12.71,2.48,0.0
20200118:1730,0.0,0.0,0.0,12.7,2.21,0.0
20200118:1830,0.0,0.0,0.0,12.61,2.0,0.0
20200118:1930,0.0,0.0,0.0,12.86,1.86,0.0
20200118:2030,0.0,0.0,0.0,12.88,1.86,0.0
20200118:2130,0.0,0.0,0.0,12.89,1.86,0.0
20200118:2230,0.0,0.0,-2.98,12.95,2.07,0.0
20200118:2330,8.73,21.63,9.38,12.97,2.14,0.0
20200119:0030,17.57,34.67,20.96,13.2,2.34,0.0
20200119:0130,43.14,67.93,31.16,13.19,2.14,0.0
20200119:0230,63.45,93.19,39.18,13.41,2.14,0.0
20200119:0330,38.97,62.14,43.87,13.57,2.28,0.0
20200119:0430,73.68,104.03,44.19,13.49,2.41,0.0
20200119:0530,51.64,78.32,40.06,13.53,2.48,0.0
20200119:0630,73.32,106.94,32.42,13.47,2.41,0.0
20200119:0730,36.44,59.71,22.47,14.01,2.34,0.0
